State.Name,Population 2015,Population 2010,Population 2005,Age Group 15-18 Proportion,Age Group 15-18 Population (2015),Age Group 15-18 Population (2010),Age Group 15-18 Population (2005),Per Capita GDP 2015,Education Investment 2015,Education Investment 2010,Education Investment 2005,Political Affiliation,Area
Hawaii,1431603,1360301,1229859,0.2008030888,287470.3043,273152.6425,246959.486,47753,12854.7241,11753.94015,8996.84472,B,West
New Hampshire,1330608,1316470,1268276,0.2069189189,275327.9689,272402.5492,262430.2988,54817,14696.75861,12383.35929,9448.304854,B,Northeast
Maine,1329328,1328361,1277886,0.2076833977,276079.3557,275878.5258,265395.7063,42077,13257.18032,12258.62498,10106.02652,B,Northeast
Rhode Island,1056298,1052567,1029252,0.2056447876,217222.1779,216454.9172,211660.309,50080,15179.1505,13698.62363,10371.31175,B,Northeast
Montana,1032949,989415,905658,0.2002934363,206892.9047,198173.3303,181397.3529,41280,11033.20941,10497.24404,8057.538193,R,West
Delaware,945934,897934,818359,0.2015675676,190669.6155,180994.3722,164954.633,47662,14120.4317,12382.698,10910.05846,B,Northeast
South Dakota,858469,814180,740853,0.1923938224,165164.1323,156643.2023,142535.5405,45002,8937.020085,8858.236618,7197.221555,R,Midwest
North Dakota,756927,672591,608517,0.1946872587,147364.0427,130944.898,118470.5066,54376,13320.07995,10991.33657,8159.460294,R,Midwest
Alaska,738432,710231,639750,0.1921389961,141881.5832,136463.0714,122920.9228,55940,20172.49054,15782.50105,10829.97405,R,West
Washington,7170351,6724540,6100408,0.1992741313,1428865.466,1340026.867,1215653.505,51146,10734.75394,9452.033377,7560.326495,B,West
Vermont,626042,625741,603346,0.2081930502,130337.5935,130274.9274,125612.4441,47864,18039.10359,15273.53009,11835.27109,B,Northeast
Wyoming,586107,563626,493160,0.19596139,114854.3424,110448.9344,96640.31907,55303,16054.69441,15169.16724,10254.79524,R,West
Virgin Islands,103838,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Puerto Rico,3497335,#N/A,#N/A,0.2092123552,731685.6923,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
District Of Columbia,672228,601723,512563,0.2084478764,140124.4991,125427.8816,106842.6689,71496,19395.64511,18666.84904,12978.92659,,Southeast
